id,timestamp,registry_code,helmet_taking
1,"2023-05-29 23:02:58",,0
2,"2023-05-29 23:03:52",123,0
3,"2023-05-29 23:04:31",123,1
4,"2023-05-29 23:09:01",472938293,0
5,"2023-05-30 00:02:34",78273,0
6,"2023-05-30 00:03:23",78273,0
7,"2023-05-30 00:04:10",7827367,1
8,"2023-05-30 00:09:01",,0
9,"2023-05-30 00:09:55",,0
10,"2023-05-30 00:10:37",,0
11,"2023-05-30 00:11:20",,0
12,"2023-05-30 00:13:53",,1
13,"2023-05-30 00:14:44",12341,0
14,"2023-05-30 00:15:19",3214,1
15,"2023-05-30 00:17:03",3214,0
